Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",121741,G,82053,G,83563,H,93343,G,61971,G,101150,H,484674,H,227195,G,389225,H,167678,G
Business,"Annual payroll ($1,000)",Accommodation and food services,492265,G,647228,G,349160,G,313127,G,416136,G,482429,G,1350446,G,376196,G,795201,G,386885,G
Business,"Annual payroll ($1,000)",Other services (except public administration),292975,G,339701,G,212652,G,181786,G,254223,G,304162,G,970455,G,224794,G,573604,G,330674,G
Business,"Annual payroll ($1,000)",Industries not classified,1472,G,1462,G,1430,G,843,G,1961,G,2171,G,3161,G,1354,G,1704,G,1167,G
Business,Total Establishments,Total for all sectors,18891,X,19493,X,15705,X,14005,X,16881,X,16919,X,28394,X,15157,X,22346,X,14549,X
Business,Total Establishments,"Agriculture, forestry, fishing and hunting",162,X,150,X,252,X,156,X,117,X,210,X,154,X,118,X,17,X,77,X
Business,Total Establishments,"Mining, quarrying, and oil and gas extraction",27,X,16,X,28,X,16,X,32,X,12,X,8,X,24,X,4,X,12,X
Business,Total Establishments,Utilities,34,X,39,X,30,X,43,X,42,X,33,X,10,X,32,X,10,X,22,X
Business,Total Establishments,Construction,2890,X,2669,X,2091,X,1749,X,1918,X,2033,X,1815,X,2579,X,1767,X,1859,X
Business,Total Establishments,Manufacturing,866,X,882,X,758,X,558,X,773,X,580,X,813,X,513,X,816,X,462,X
Business,Total Establishments,Wholesale trade,1087,X,827,X,748,X,761,X,929,X,539,X,1255,X,787,X,1609,X,610,X
Business,Total Establishments,Retail trade,1724,X,2835,X,1826,X,2077,X,2213,X,2284,X,2735,X,1803,X,2368,X,1909,X
Business,Total Establishments,Transportation and warehousing,437,X,417,X,597,X,629,X,417,X,348,X,437,X,513,X,892,X,484,X
Business,Total Establishments,Information,399,X,256,X,248,X,186,X,299,X,247,X,870,X,202,X,458,X,167,X
Business,Total Establishments,Finance and insurance,923,X,987,X,875,X,683,X,1091,X,888,X,1476,X,623,X,1282,X,770,X
Business,Total Establishments,Real estate and rental and leasing,1054,X,1047,X,793,X,797,X,821,X,945,X,1925,X,754,X,1431,X,858,X
Business,Total Establishments,"Professional, scientific, and technical services",2505,X,1879,X,1557,X,1061,X,1616,X,1778,X,5311,X,1469,X,2712,X,1290,X
Business,Total Establishments,Management of companies and enterprises,87,X,71,X,92,X,39,X,93,X,63,X,296,X,53,X,224,X,59,X
Business,Total Establishments,Administrative and support and waste management and remediation services,1180,X,974,X,846,X,643,X,848,X,934,X,1267,X,863,X,1197,X,792,X
Business,Total Establishments,Educational services,341,X,289,X,172,X,163,X,199,X,224,X,564,X,256,X,453,X,171,X
Business,Total Establishments,Health care and social assistance,1759,X,2123,X,1676,X,1571,X,2035,X,2061,X,3153,X,1475,X,2830,X,1838,X
Business,Total Establishments,"Arts, entertainment, and recreation",269,X,322,X,198,X,218,X,255,X,302,X,580,X,283,X,301,X,204,X
Business,Total Establishments,Accommodation and food services,1446,X,1836,X,1350,X,1294,X,1529,X,1655,X,2948,X,1337,X,1951,X,1357,X
Business,Total Establishments,Other services (except public administration),1630,X,1820,X,1510,X,1318,X,1602,X,1722,X,2619,X,1411,X,1953,X,1563,X
Business,Total Establishments,Industries not classified,71,X,54,X,58,X,43,X,52,X,61,X,158,X,62,X,71,X,45,X

Source: 2015 County Business Patterns for Congressional Districts
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
2. Industries not classified - Industry could not be determined.
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
"4. If a sector does not appear in a district, CBP did not identify any establishments in the district."
5. Disclosure and Quality Indicator Flag Definitions:
D Withheld to avoid disclosing data for individual companies; data are included in higher level totals
G Cell value changed by less than 2 percent by the application of noise
H Cell value changed by at least 2 percent but less than 5 percent by the application of noise
J Cell value changed by 5 percent or more by the application of noise
S Cell value withheld because it did not meet publication standards
N Not available or not comparable
X Not applicable
a 0 to 19 employees
b 20 to 99 employees
c 100 to 249 employees
e 250 to 499 employees
f 500 to 999 employees
"g 1,000 to 2,499 employees"
"h 2,500 to 4,999 employees"
"i 5,000 to 9,999 employees"
"j 10,000 to 24,999 employees"
"l 50,000 to 99,999 employees"
"m 100,000 employees or more"
