Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE,District 15 Estimate,District 15 MOE,District 16 Estimate,District 16 MOE,District 17 Estimate,District 17 MOE,District 18 Estimate,District 18 MOE,District 19 Estimate,District 19 MOE,District 20 Estimate,District 20 MOE,District 21 Estimate,District 21 MOE,District 22 Estimate,District 22 MOE,District 23 Estimate,District 23 MOE,District 24 Estimate,District 24 MOE,District 25 Estimate,District 25 MOE,District 26 Estimate,District 26 MOE,District 27 Estimate,District 27 MOE,District 28 Estimate,District 28 MOE,District 29 Estimate,District 29 MOE,District 30 Estimate,District 30 MOE,District 31 Estimate,District 31 MOE,District 32 Estimate,District 32 MOE,District 33 Estimate,District 33 MOE,District 34 Estimate,District 34 MOE,District 35 Estimate,District 35 MOE,District 36 Estimate,District 36 MOE
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All people,18.4,(+/- 1.4 ),10.6,(+/- 1.5 ),6.5,(+/- 0.8 ),13.1,(+/- 1.1 ),15.3,(+/- 1.4 ),11.2,(+/- 1.2 ),11.5,(+/- 1.2 ),12.0,(+/- 1.3 ),19.7,(+/- 1.3 ),10.3,(+/- 1.1 ),12.8,(+/- 1.2 ),11.3,(+/- 1.3 ),15.9,(+/- 1.2 ),15.2,(+/- 1.1 ),27.9,(+/- 1.9 ),21.6,(+/- 1.7 ),18.0,(+/- 1.2 ),23.6,(+/- 1.9 ),18.1,(+/- 1.4 ),18.4,(+/- 1.7 ),11.1,(+/- 1.1 ),8.7,(+/- 1.4 ),17.9,(+/- 1.7 ),8.4,(+/- 1.1 ),9.8,(+/- 1.1 ),8.4,(+/- 1.1 ),14.4,(+/- 1.2 ),26.0,(+/- 2.0 ),23.6,(+/- 1.7 ),21.1,(+/- 1.7 ),8.4,(+/- 0.9 ),11.4,(+/- 1.3 ),25.0,(+/- 1.8 ),28.1,(+/- 2.0 ),20.4,(+/- 1.6 ),14.4,(+/- 1.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Under 18 years,26.5,(+/- 2.5 ),16.5,(+/- 3.1 ),7.4,(+/- 1.6 ),18.5,(+/- 2.4 ),21.7,(+/- 2.8 ),16.3,(+/- 2.7 ),17.7,(+/- 3.1 ),14.6,(+/- 2.2 ),30.4,(+/- 2.6 ),13.0,(+/- 1.9 ),17.0,(+/- 2.3 ),14.7,(+/- 2.8 ),21.4,(+/- 2.6 ),22.7,(+/- 2.5 ),40.1,(+/- 3.1 ),31.0,(+/- 3.5 ),22.0,(+/- 3.0 ),34.6,(+/- 3.7 ),21.4,(+/- 2.8 ),24.8,(+/- 3.0 ),11.6,(+/- 2.2 ),11.6,(+/- 2.9 ),24.8,(+/- 2.9 ),12.5,(+/- 2.4 ),12.5,(+/- 2.5 ),10.5,(+/- 2.2 ),20.7,(+/- 3.0 ),37.2,(+/- 2.9 ),34.0,(+/- 3.3 ),31.3,(+/- 3.3 ),11.1,(+/- 1.7 ),17.9,(+/- 3.4 ),36.1,(+/- 3.3 ),40.3,(+/- 3.5 ),30.4,(+/- 3.5 ),20.7,(+/- 2.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 18 years,26.4,(+/- 2.5 ),16.3,(+/- 3.1 ),7.2,(+/- 1.6 ),18.3,(+/- 2.4 ),21.6,(+/- 2.8 ),15.8,(+/- 2.7 ),17.4,(+/- 3.0 ),14.1,(+/- 2.2 ),30.2,(+/- 2.6 ),12.8,(+/- 1.9 ),16.6,(+/- 2.3 ),14.3,(+/- 2.8 ),21.0,(+/- 2.6 ),22.6,(+/- 2.5 ),40.0,(+/- 3.1 ),30.7,(+/- 3.4 ),21.9,(+/- 3.0 ),34.5,(+/- 3.7 ),21.1,(+/- 2.8 ),24.6,(+/- 3.0 ),11.4,(+/- 2.2 ),11.5,(+/- 2.9 ),24.5,(+/- 2.9 ),12.3,(+/- 2.4 ),12.1,(+/- 2.5 ),10.0,(+/- 2.2 ),20.6,(+/- 3.0 ),37.0,(+/- 2.9 ),33.9,(+/- 3.3 ),31.2,(+/- 3.3 ),11.0,(+/- 1.7 ),17.6,(+/- 3.4 ),36.0,(+/- 3.3 ),40.0,(+/- 3.5 ),30.1,(+/- 3.5 ),20.1,(+/- 2.6 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 5 years,29.1,(+/- 5.1 ),16.8,(+/- 4.1 ),8.0,(+/- 2.4 ),23.7,(+/- 3.7 ),21.8,(+/- 3.9 ),19.6,(+/- 4.4 ),17.4,(+/- 4.3 ),15.6,(+/- 4.7 ),33.1,(+/- 4.8 ),15.1,(+/- 3.1 ),17.3,(+/- 3.8 ),12.3,(+/- 2.8 ),27.4,(+/- 4.6 ),23.4,(+/- 3.9 ),40.9,(+/- 5.5 ),31.0,(+/- 5.6 ),28.1,(+/- 5.0 ),33.5,(+/- 5.2 ),23.3,(+/- 4.2 ),22.3,(+/- 3.9 ),13.1,(+/- 3.3 ),12.3,(+/- 4.3 ),27.0,(+/- 4.1 ),11.3,(+/- 3.4 ),14.3,(+/- 3.4 ),9.3,(+/- 2.7 ),22.8,(+/- 4.4 ),41.6,(+/- 4.5 ),35.4,(+/- 4.9 ),33.8,(+/- 4.5 ),12.9,(+/- 3.5 ),18.9,(+/- 4.3 ),36.3,(+/- 3.9 ),46.1,(+/- 5.4 ),37.0,(+/- 5.1 ),21.2,(+/- 4.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder 5 to 17 years,25.4,(+/- 2.8 ),16.1,(+/- 3.5 ),7.0,(+/- 1.8 ),16.5,(+/- 2.7 ),21.5,(+/- 2.9 ),14.6,(+/- 2.8 ),17.5,(+/- 3.3 ),13.5,(+/- 2.6 ),29.1,(+/- 3.0 ),12.0,(+/- 2.0 ),16.3,(+/- 2.6 ),15.2,(+/- 3.3 ),18.5,(+/- 2.7 ),22.2,(+/- 3.0 ),39.6,(+/- 3.2 ),30.6,(+/- 3.4 ),19.3,(+/- 3.1 ),34.9,(+/- 4.2 ),20.3,(+/- 2.9 ),25.5,(+/- 3.3 ),10.7,(+/- 2.5 ),11.2,(+/- 3.0 ),23.7,(+/- 3.1 ),12.6,(+/- 2.8 ),11.3,(+/- 2.8 ),10.3,(+/- 2.4 ),19.8,(+/- 3.2 ),35.2,(+/- 3.3 ),33.2,(+/- 3.6 ),30.3,(+/- 3.8 ),10.3,(+/- 1.8 ),17.1,(+/- 3.6 ),36.0,(+/- 3.8 ),37.5,(+/- 3.7 ),27.0,(+/- 3.6 ),19.7,(+/- 2.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,18 years and over,15.7,(+/- 1.3 ),8.7,(+/- 1.1 ),6.2,(+/- 0.7 ),11.4,(+/- 0.8 ),12.9,(+/- 1.2 ),9.4,(+/- 0.9 ),9.4,(+/- 0.8 ),11.1,(+/- 1.2 ),15.8,(+/- 1.1 ),9.4,(+/- 1.0 ),11.4,(+/- 1.1 ),10.1,(+/- 1.0 ),13.9,(+/- 1.0 ),12.6,(+/- 1.0 ),22.2,(+/- 1.6 ),18.0,(+/- 1.4 ),16.8,(+/- 1.0 ),19.5,(+/- 1.5 ),17.0,(+/- 1.2 ),16.2,(+/- 1.4 ),11.0,(+/- 1.1 ),7.7,(+/- 1.1 ),15.2,(+/- 1.4 ),7.1,(+/- 0.8 ),9.0,(+/- 0.8 ),7.6,(+/- 0.8 ),12.3,(+/- 1.0 ),21.0,(+/- 1.8 ),19.1,(+/- 1.3 ),17.3,(+/- 1.3 ),7.3,(+/- 0.9 ),9.2,(+/- 0.8 ),19.8,(+/- 1.3 ),22.9,(+/- 1.6 ),16.8,(+/- 1.2 ),12.2,(+/- 1.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,65 years and over,9.3,(+/- 1.5 ),6.8,(+/- 2.0 ),6.6,(+/- 1.6 ),7.6,(+/- 1.2 ),9.6,(+/- 1.6 ),8.7,(+/- 2.1 ),6.8,(+/- 1.6 ),7.7,(+/- 1.8 ),15.4,(+/- 2.5 ),8.2,(+/- 1.5 ),7.7,(+/- 1.3 ),7.9,(+/- 1.5 ),10.3,(+/- 1.4 ),8.5,(+/- 1.4 ),17.7,(+/- 2.8 ),19.2,(+/- 2.6 ),9.0,(+/- 1.8 ),17.3,(+/- 2.6 ),9.6,(+/- 1.5 ),14.9,(+/- 2.4 ),5.8,(+/- 1.2 ),8.0,(+/- 2.0 ),16.8,(+/- 2.1 ),4.4,(+/- 1.2 ),5.8,(+/- 1.2 ),3.4,(+/- 1.3 ),10.5,(+/- 1.6 ),19.0,(+/- 2.7 ),20.8,(+/- 3.2 ),13.7,(+/- 1.9 ),5.9,(+/- 1.4 ),6.2,(+/- 1.3 ),16.9,(+/- 2.1 ),22.0,(+/- 2.4 ),13.7,(+/- 2.0 ),7.6,(+/- 1.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,People in families,16.3,(+/- 1.5 ),9.6,(+/- 1.7 ),4.7,(+/- 0.8 ),10.5,(+/- 1.2 ),13.5,(+/- 1.7 ),9.4,(+/- 1.3 ),10.4,(+/- 1.5 ),9.3,(+/- 1.3 ),18.6,(+/- 1.5 ),8.2,(+/- 1.2 ),9.9,(+/- 1.3 ),8.6,(+/- 1.4 ),13.6,(+/- 1.4 ),13.1,(+/- 1.3 ),27.4,(+/- 2.0 ),20.1,(+/- 1.9 ),13.2,(+/- 1.5 ),22.5,(+/- 2.2 ),13.5,(+/- 1.6 ),15.9,(+/- 1.9 ),6.9,(+/- 1.2 ),7.6,(+/- 1.4 ),16.4,(+/- 1.8 ),7.4,(+/- 1.3 ),7.5,(+/- 1.2 ),6.0,(+/- 1.2 ),12.0,(+/- 1.5 ),25.3,(+/- 2.1 ),22.8,(+/- 1.9 ),19.7,(+/- 2.0 ),6.5,(+/- 0.9 ),9.8,(+/- 1.6 ),24.2,(+/- 2.1 ),26.4,(+/- 2.1 ),18.3,(+/- 2.0 ),12.2,(+/- 1.5 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Unrelated individuals 15 years and over,29.4,(+/- 2.8 ),15.7,(+/- 1.9 ),18.9,(+/- 2.4 ),28.3,(+/- 2.4 ),25.6,(+/- 2.9 ),22.0,(+/- 2.4 ),16.3,(+/- 2.3 ),28.5,(+/- 3.4 ),24.8,(+/- 2.9 ),20.8,(+/- 2.7 ),26.0,(+/- 2.5 ),23.5,(+/- 2.4 ),27.3,(+/- 2.0 ),25.9,(+/- 2.3 ),32.7,(+/- 3.4 ),32.1,(+/- 3.1 ),33.8,(+/- 1.9 ),28.4,(+/- 2.6 ),36.7,(+/- 2.7 ),29.9,(+/- 2.7 ),24.2,(+/- 2.5 ),19.7,(+/- 3.4 ),30.4,(+/- 3.3 ),12.3,(+/- 1.6 ),22.1,(+/- 2.2 ),23.4,(+/- 2.6 ),26.3,(+/- 2.8 ),32.3,(+/- 2.6 ),29.7,(+/- 2.8 ),27.8,(+/- 2.5 ),19.2,(+/- 2.2 ),17.6,(+/- 1.9 ),30.4,(+/- 2.5 ),42.6,(+/- 3.3 ),28.3,(+/- 2.4 ),27.7,(+/- 2.9 )
Education,School Enrollment,Population 3 years and over enrolled in school,181506,(+/- 4705 ),208522,(+/- 11907 ),239492,(+/- 5434 ),183617,(+/- 5682 ),196388,(+/- 7024 ),216566,(+/- 8020 ),207928,(+/- 12169 ),207347,(+/- 6985 ),229528,(+/- 11778 ),216021,(+/- 12185 ),191252,(+/- 6475 ),196944,(+/- 10100 ),176177,(+/- 4515 ),188746,(+/- 5738 ),239255,(+/- 9320 ),221463,(+/- 6162 ),235328,(+/- 6091 ),214741,(+/- 10959 ),216092,(+/- 5908 ),225129,(+/- 11421 ),193237,(+/- 9431 ),261864,(+/- 11373 ),215688,(+/- 9032 ),195248,(+/- 7103 ),196687,(+/- 8944 ),253659,(+/- 7530 ),183395,(+/- 5069 ),223425,(+/- 8525 ),217416,(+/- 11763 ),200919,(+/- 10073 ),231263,(+/- 6471 ),196206,(+/- 8440 ),222578,(+/- 11465 ),210418,(+/- 7154 ),224622,(+/- 11791 ),184503,(+/- 7708 )
Education,School Enrollment,"Nursery school, preschool",9440,(+/- 1681 ),13231,(+/- 2538 ),15981,(+/- 2054 ),10245,(+/- 1817 ),10977,(+/- 1986 ),9281,(+/- 1598 ),13575,(+/- 2549 ),12317,(+/- 2258 ),13086,(+/- 2281 ),14580,(+/- 2390 ),10241,(+/- 1751 ),11535,(+/- 2028 ),10685,(+/- 1810 ),12125,(+/- 2392 ),12993,(+/- 2558 ),12422,(+/- 2226 ),12547,(+/- 1990 ),11016,(+/- 1900 ),10543,(+/- 1641 ),12012,(+/- 1926 ),9452,(+/- 1944 ),18029,(+/- 2757 ),13475,(+/- 2348 ),11628,(+/- 2037 ),10529,(+/- 1505 ),19560,(+/- 3376 ),8901,(+/- 1919 ),13571,(+/- 2024 ),12109,(+/- 2402 ),12202,(+/- 2166 ),16372,(+/- 2283 ),15460,(+/- 2589 ),15208,(+/- 2405 ),15612,(+/- 2600 ),13177,(+/- 2131 ),11231,(+/- 1786 )
Education,School Enrollment,Kindergarten,8668,(+/- 1620 ),10573,(+/- 1981 ),12502,(+/- 1651 ),7908,(+/- 1241 ),11186,(+/- 2127 ),11320,(+/- 1685 ),14398,(+/- 2769 ),9537,(+/- 1915 ),12325,(+/- 2368 ),11670,(+/- 1729 ),10826,(+/- 2105 ),9874,(+/- 1986 ),10258,(+/- 1486 ),11295,(+/- 1993 ),11766,(+/- 1803 ),11202,(+/- 1892 ),7473,(+/- 1301 ),10712,(+/- 2197 ),12477,(+/- 2167 ),12711,(+/- 2176 ),8615,(+/- 1655 ),14019,(+/- 2459 ),8468,(+/- 1705 ),11049,(+/- 1789 ),7579,(+/- 1531 ),12780,(+/- 1704 ),8206,(+/- 1489 ),12511,(+/- 1753 ),10778,(+/- 1942 ),13978,(+/- 2077 ),11958,(+/- 1990 ),9896,(+/- 1695 ),13655,(+/- 2083 ),12819,(+/- 2198 ),12854,(+/- 2051 ),10190,(+/- 2178 )
Education,School Enrollment,Elementary school (grades 1-8),79147,(+/- 2857 ),90140,(+/- 7487 ),103270,(+/- 3358 ),84540,(+/- 3203 ),93199,(+/- 4948 ),86541,(+/- 4778 ),84827,(+/- 7182 ),93657,(+/- 4075 ),95964,(+/- 7451 ),94000,(+/- 7483 ),86360,(+/- 3537 ),83392,(+/- 5651 ),79627,(+/- 2584 ),85969,(+/- 3341 ),114072,(+/- 4964 ),88919,(+/- 3615 ),80718,(+/- 3911 ),94392,(+/- 7015 ),82538,(+/- 3415 ),91969,(+/- 6495 ),69644,(+/- 4761 ),111110,(+/- 5520 ),101103,(+/- 6116 ),82937,(+/- 5032 ),82690,(+/- 4617 ),105735,(+/- 4401 ),86546,(+/- 3719 ),106372,(+/- 6111 ),105958,(+/- 7343 ),95214,(+/- 6363 ),100150,(+/- 3244 ),79951,(+/- 5056 ),110853,(+/- 6921 ),90038,(+/- 4217 ),94756,(+/- 5841 ),81843,(+/- 5254 )
Education,School Enrollment,High school (grades 9-12),37787,(+/- 2486 ),40535,(+/- 5331 ),54085,(+/- 2338 ),42572,(+/- 2778 ),44271,(+/- 4094 ),47679,(+/- 2985 ),40180,(+/- 4738 ),45131,(+/- 3239 ),45169,(+/- 4368 ),45004,(+/- 4422 ),41626,(+/- 2056 ),42702,(+/- 3890 ),38127,(+/- 2119 ),40389,(+/- 2258 ),52324,(+/- 3691 ),44703,(+/- 2891 ),37843,(+/- 2893 ),43208,(+/- 3860 ),39289,(+/- 2853 ),43350,(+/- 4007 ),40501,(+/- 3749 ),55948,(+/- 3880 ),51679,(+/- 3917 ),41887,(+/- 3096 ),41606,(+/- 2885 ),48054,(+/- 2602 ),40365,(+/- 2603 ),52761,(+/- 3389 ),50605,(+/- 4466 ),39163,(+/- 3623 ),47911,(+/- 2276 ),40645,(+/- 4111 ),47115,(+/- 4242 ),53615,(+/- 2732 ),40795,(+/- 3549 ),45113,(+/- 3626 )
Education,School Enrollment,College or graduate school,46464,(+/- 3435 ),54043,(+/- 4274 ),53654,(+/- 4464 ),38352,(+/- 3352 ),36755,(+/- 3598 ),61745,(+/- 5176 ),54948,(+/- 5237 ),46705,(+/- 4663 ),62984,(+/- 5338 ),50767,(+/- 4585 ),42199,(+/- 4560 ),49441,(+/- 4265 ),37480,(+/- 3301 ),38968,(+/- 3396 ),48100,(+/- 4387 ),64217,(+/- 4820 ),96747,(+/- 3899 ),55413,(+/- 5189 ),71245,(+/- 4765 ),65087,(+/- 5381 ),65025,(+/- 6347 ),62758,(+/- 5225 ),40963,(+/- 3740 ),47747,(+/- 4143 ),54283,(+/- 7519 ),67530,(+/- 4773 ),39377,(+/- 2847 ),38210,(+/- 3871 ),37966,(+/- 4209 ),40362,(+/- 3817 ),54872,(+/- 4415 ),50254,(+/- 4493 ),35747,(+/- 3756 ),38334,(+/- 3865 ),63040,(+/- 5739 ),36126,(+/- 4292 )
Education,Educational Attainment,Population 25 years and over,465848,(+/- 4089 ),519320,(+/- 16606 ),551334,(+/- 4073 ),494545,(+/- 4856 ),494927,(+/- 8160 ),494562,(+/- 9068 ),518453,(+/- 17186 ),534784,(+/- 6960 ),493330,(+/- 13269 ),547243,(+/- 13286 ),485147,(+/- 3953 ),511560,(+/- 9317 ),460575,(+/- 3530 ),499765,(+/- 6071 ),448723,(+/- 7742 ),450945,(+/- 4831 ),469035,(+/- 7565 ),487572,(+/- 12904 ),454004,(+/- 4804 ),494588,(+/- 12485 ),553738,(+/- 11790 ),564955,(+/- 10680 ),477607,(+/- 11509 ),543716,(+/- 11301 ),506581,(+/- 8643 ),537493,(+/- 6932 ),479223,(+/- 5154 ),430861,(+/- 9241 ),451687,(+/- 12760 ),466717,(+/- 8901 ),533222,(+/- 3335 ),502640,(+/- 8157 ),435724,(+/- 12115 ),430781,(+/- 6724 ),508479,(+/- 13615 ),475596,(+/- 8598 )
Education,Educational Attainment,Less than 9th grade,32758,(+/- 3008 ),30136,(+/- 3990 ),18515,(+/- 3066 ),24342,(+/- 2488 ),45099,(+/- 5079 ),23721,(+/- 2894 ),32786,(+/- 5948 ),27590,(+/- 3679 ),59697,(+/- 6462 ),32144,(+/- 3888 ),36183,(+/- 2984 ),26120,(+/- 3923 ),34675,(+/- 3340 ),29484,(+/- 2935 ),78112,(+/- 5312 ),54444,(+/- 4188 ),28907,(+/- 3321 ),60492,(+/- 5779 ),39428,(+/- 3417 ),43813,(+/- 5247 ),18869,(+/- 3180 ),25199,(+/- 3917 ),66342,(+/- 4121 ),30045,(+/- 3726 ),20405,(+/- 2554 ),18418,(+/- 3240 ),36350,(+/- 3440 ),68495,(+/- 4401 ),105479,(+/- 7185 ),53538,(+/- 4317 ),17069,(+/- 3436 ),35996,(+/- 4475 ),104782,(+/- 6289 ),77511,(+/- 4471 ),61458,(+/- 4459 ),31230,(+/- 3607 )
Education,Educational Attainment,"9th to 12th grade, no diploma",50999,(+/- 4303 ),26752,(+/- 3958 ),16572,(+/- 2350 ),42758,(+/- 3223 ),55207,(+/- 4227 ),34690,(+/- 3042 ),20069,(+/- 3240 ),41511,(+/- 4561 ),41659,(+/- 4153 ),27941,(+/- 3926 ),52800,(+/- 4596 ),35353,(+/- 3906 ),47100,(+/- 4242 ),41596,(+/- 3532 ),53524,(+/- 4603 ),38879,(+/- 3528 ),39595,(+/- 3955 ),55750,(+/- 4403 ),42896,(+/- 3646 ),53773,(+/- 5659 ),20379,(+/- 3215 ),28669,(+/- 3887 ),56405,(+/- 5091 ),26348,(+/- 3064 ),27750,(+/- 3781 ),21655,(+/- 2975 ),46817,(+/- 3019 ),56691,(+/- 4238 ),66461,(+/- 5227 ),52560,(+/- 3923 ),23513,(+/- 3079 ),30323,(+/- 3637 ),74220,(+/- 4663 ),56773,(+/- 5334 ),56109,(+/- 4821 ),42279,(+/- 3945 )
Education,Educational Attainment,High school graduate (includes equivalency),131291,(+/- 6250 ),102825,(+/- 6473 ),75934,(+/- 5089 ),157387,(+/- 5177 ),149145,(+/- 6460 ),124285,(+/- 6796 ),80122,(+/- 7011 ),148220,(+/- 7533 ),142428,(+/- 8161 ),120334,(+/- 6595 ),150127,(+/- 5402 ),139238,(+/- 9453 ),136912,(+/- 4562 ),149106,(+/- 5994 ),115626,(+/- 5400 ),102052,(+/- 5659 ),121108,(+/- 5865 ),129808,(+/- 7167 ),137154,(+/- 5851 ),133730,(+/- 6797 ),108665,(+/- 6986 ),102832,(+/- 6587 ),118774,(+/- 6764 ),92931,(+/- 6186 ),123262,(+/- 7235 ),96468,(+/- 6482 ),142734,(+/- 5710 ),119754,(+/- 6163 ),133714,(+/- 6111 ),124362,(+/- 5674 ),119672,(+/- 6025 ),89421,(+/- 6174 ),128231,(+/- 6658 ),123345,(+/- 6803 ),145960,(+/- 8473 ),157754,(+/- 7237 )
Education,Educational Attainment,"Some college, no degree",118772,(+/- 6029 ),108558,(+/- 7397 ),104896,(+/- 5228 ),121800,(+/- 5563 ),109147,(+/- 5360 ),126033,(+/- 6275 ),89429,(+/- 6538 ),118660,(+/- 7476 ),102427,(+/- 6904 ),113391,(+/- 6965 ),114197,(+/- 5261 ),119265,(+/- 5844 ),111259,(+/- 4756 ),118150,(+/- 6810 ),89664,(+/- 5138 ),109369,(+/- 5597 ),104826,(+/- 5241 ),103599,(+/- 5424 ),104668,(+/- 5023 ),105983,(+/- 6114 ),115207,(+/- 5572 ),111700,(+/- 7976 ),98540,(+/- 5957 ),114725,(+/- 5711 ),113409,(+/- 5849 ),122607,(+/- 6383 ),118867,(+/- 6073 ),79983,(+/- 5733 ),76071,(+/- 5134 ),111761,(+/- 5874 ),140574,(+/- 6291 ),99310,(+/- 6291 ),67343,(+/- 4872 ),81229,(+/- 5459 ),110063,(+/- 7021 ),113818,(+/- 5476 )
Education,Educational Attainment,Associate's degree,34815,(+/- 2818 ),39128,(+/- 4417 ),40336,(+/- 3609 ),38827,(+/- 3294 ),32136,(+/- 3189 ),43648,(+/- 3680 ),33285,(+/- 5127 ),37544,(+/- 4628 ),29611,(+/- 3680 ),41570,(+/- 4418 ),33108,(+/- 3303 ),38413,(+/- 4085 ),36850,(+/- 3306 ),47862,(+/- 3551 ),23154,(+/- 2584 ),38439,(+/- 4067 ),36802,(+/- 3369 ),28629,(+/- 3552 ),28085,(+/- 2695 ),35018,(+/- 3550 ),41115,(+/- 3309 ),41932,(+/- 4701 ),34104,(+/- 3243 ),36370,(+/- 3054 ),33536,(+/- 2883 ),40519,(+/- 3329 ),37412,(+/- 3113 ),29726,(+/- 3314 ),23146,(+/- 2941 ),28680,(+/- 3618 ),49387,(+/- 3854 ),29479,(+/- 2936 ),20553,(+/- 2419 ),26902,(+/- 3370 ),31373,(+/- 3443 ),38080,(+/- 3645 )
Education,Educational Attainment,Bachelor's degree,66676,(+/- 4133 ),135377,(+/- 7863 ),189348,(+/- 6640 ),74267,(+/- 4827 ),69724,(+/- 4964 ),94429,(+/- 4688 ),162805,(+/- 7993 ),105431,(+/- 5897 ),76498,(+/- 5721 ),136208,(+/- 6072 ),70151,(+/- 4001 ),101510,(+/- 5885 ),64813,(+/- 3852 ),74334,(+/- 4093 ),62205,(+/- 4646 ),71532,(+/- 5079 ),85695,(+/- 4906 ),69841,(+/- 4421 ),67362,(+/- 3971 ),81183,(+/- 5600 ),157338,(+/- 7270 ),157049,(+/- 7672 ),66085,(+/- 4169 ),160673,(+/- 7275 ),122048,(+/- 5784 ),162971,(+/- 7216 ),63239,(+/- 4064 ),51740,(+/- 3822 ),32612,(+/- 3638 ),61698,(+/- 4022 ),124403,(+/- 6187 ),137024,(+/- 6011 ),27932,(+/- 2706 ),45197,(+/- 3900 ),70787,(+/- 5023 ),62493,(+/- 4946 )
Education,Educational Attainment,Graduate or professional degree,30537,(+/- 2646 ),76544,(+/- 5605 ),105733,(+/- 4787 ),35164,(+/- 2892 ),34469,(+/- 2666 ),47756,(+/- 3986 ),99957,(+/- 5125 ),55828,(+/- 5920 ),41010,(+/- 3581 ),75655,(+/- 4875 ),28581,(+/- 2678 ),51661,(+/- 3874 ),28966,(+/- 2340 ),39233,(+/- 3641 ),26438,(+/- 3017 ),36230,(+/- 3162 ),52102,(+/- 4086 ),39453,(+/- 3547 ),34411,(+/- 2731 ),41088,(+/- 3100 ),92165,(+/- 5940 ),97574,(+/- 6367 ),37357,(+/- 2854 ),82624,(+/- 4214 ),66171,(+/- 4572 ),74855,(+/- 3942 ),33804,(+/- 2969 ),24472,(+/- 2575 ),14204,(+/- 2239 ),34118,(+/- 2944 ),58604,(+/- 4272 ),81087,(+/- 4954 ),12663,(+/- 1782 ),19824,(+/- 2392 ),32729,(+/- 3207 ),29942,(+/- 3111 )
Education,Educational Attainment,Percent high school graduate or higher,82.0,(+/- 1.0 ),89.0,(+/- 1.0 ),93.6,(+/- 0.8 ),86.4,(+/- 0.8 ),79.7,(+/- 1.3 ),88.2,(+/- 0.8 ),89.8,(+/- 1.2 ),87.1,(+/- 1.0 ),79.5,(+/- 1.4 ),89.0,(+/- 1.0 ),81.7,(+/- 1.0 ),88.0,(+/- 1.1 ),82.2,(+/- 1.0 ),85.8,(+/- 0.9 ),70.7,(+/- 1.4 ),79.3,(+/- 1.3 ),85.4,(+/- 1.1 ),76.2,(+/- 1.3 ),81.9,(+/- 1.1 ),80.3,(+/- 1.5 ),92.9,(+/- 0.9 ),90.5,(+/- 1.0 ),74.3,(+/- 1.2 ),89.6,(+/- 1.0 ),90.5,(+/- 0.8 ),92.5,(+/- 0.8 ),82.6,(+/- 0.9 ),70.9,(+/- 1.4 ),61.9,(+/- 1.5 ),77.3,(+/- 1.1 ),92.4,(+/- 0.8 ),86.8,(+/- 1.1 ),58.9,(+/- 1.4 ),68.8,(+/- 1.6 ),76.9,(+/- 1.2 ),84.5,(+/- 1.1 )
Education,Educational Attainment,Percent bachelor's degree or higher,20.9,(+/- 0.9 ),40.8,(+/- 1.7 ),53.5,(+/- 1.3 ),22.1,(+/- 1.0 ),21.1,(+/- 1.1 ),28.7,(+/- 1.2 ),50.7,(+/- 1.4 ),30.2,(+/- 1.4 ),23.8,(+/- 1.4 ),38.7,(+/- 1.3 ),20.4,(+/- 0.9 ),29.9,(+/- 1.5 ),20.4,(+/- 1.0 ),22.7,(+/- 1.0 ),19.8,(+/- 1.1 ),23.9,(+/- 1.1 ),29.4,(+/- 1.2 ),22.4,(+/- 1.2 ),22.4,(+/- 1.1 ),24.7,(+/- 1.3 ),45.1,(+/- 1.5 ),45.1,(+/- 1.3 ),21.7,(+/- 1.1 ),44.7,(+/- 1.3 ),37.2,(+/- 1.2 ),44.2,(+/- 1.5 ),20.3,(+/- 1.1 ),17.7,(+/- 1.0 ),10.4,(+/- 1.0 ),20.5,(+/- 1.1 ),34.3,(+/- 1.5 ),43.4,(+/- 1.3 ),9.3,(+/- 0.7 ),15.1,(+/- 0.9 ),20.4,(+/- 1.1 ),19.4,(+/- 1.1 )

Source: 2016 American Community Survey 1-Year Estimates
